Book Name:,Author,Genre - Theme - Type,Status:,Rating,Review,Total Pages,Pages Read,Date Started,Date Finished,Reading Time,ISBN,Cover URL
Scott Pilgrim Volume 2,Bryan Lee O'Malley,Feel good - Funny- Comic,Finished,0,,0,0,,,0,,
Scott Pilgrim Volume 1,Bryan Lee O'Malley,Feel good - Funny- Comic,Finished,0,,0,0,,,0,,
Somethin is killing the children book 2,James Tynion IV,Horror - Suspense - Comic,Finished,0,,0,0,,,0,,
Something is killing the children book 1,James Tynion IV,Horror - Suspense - Comic,Finished,0,,0,0,,,0,,
Something is killing the children vol. 4,James Tynion IV,Horror - Suspense - Comic,Finished,0,,0,0,,,0,,
Something is killing the children vol. 8,James Tynion IV,Horror - Suspense - Comic,Finished,0,,0,0,,,0,,
W0rldtr33 vol.1,James Tynion IV,Horror - Suspense - Comic,Finished,0,,0,0,,,0,,
I Need you read  this,Jessa Maxwell,Dark - Mysterious - Suspense,Finished,0,,0,0,,,0,,
Maid,Barbara Ehrenreich & Stephanie Land,Moving - Thought-Provoking,Finished,0,,0,0,,,0,,
The Housemaid,Freida McFadden,Dark - Mysterious - Suspense,To Be Read,0,,0,0,,,0,,
The Mysterious Case of the Alperton Angels,Janice Halllett,Fast-paced mystery,To be Read,0,,0,0,,,0,,
Butcher & Blackbird,Brynne Weaver,Love - Suspence - Mystery,To Be Read,0,,0,0,,,0,,
As Good as Dead,Holly Jackson,Dark - Mysterious - Suspense,Finished,0,,0,0,,,0,,
"Good Girl, Bad Blood",Holly Jackson,Dark - Mysterious - Suspense,Finished,0,,0,0,,,0,,
A Good Girl's Guide to Murder,Holly Jackson,Dark - Mysterious - Suspense,Finished,0,,0,0,,,0,,
The Reappearance of Rachel Price,Holly Jackson,Dark - Mysterious - Suspense,To Be Read,0,,0,0,,,0,,
Everyone in My Family Has Killeed Someone,Benjamin Stevenson,Funny - Mysterious,Finished,0,,0,0,,,0,,
An Anonymous Girl,Greer Hendricks & Sarah Pekkanen,Dark - Mysterious - Suspense,Finished,0,,0,0,,,0,,
Two Sides to Every Murder,Danielle Valentine,Dark - Mysterious - Suspense,To Be Read,0,,0,0,,,0,,
W0rldtr33 vol.2,James Tynion IV,Horror - Suspense - Comic,To Be Read,0,,0,0,,,0,,
Spiral,Koji Sukuki,Thriller - Suspense - Dark,To Be Read,0,,0,0,,,0,,
Loop,Koji Sukuki,Thriller - Suspense - Dark,To Be Read,0,,0,0,,,0,,
Ring,Koji Sukuki,Thriller - Suspense - Dark,To Be Read,0,,0,0,,,0,,
The Only Good Indians,Stephen Graham Jones,Dark - Mysterious - Suspense,To Be Read,0,,0,0,,,0,,
The Last Olympian,Rick Riordan,Adventurous,Finished,0,,0,0,,,0,,
The Boyfriend,Freida McFadden,Dark - Mysterious - Suspense,To Be Read,0,,0,0,,,0,,
Their Vicious Games,Joelle Wellington,Dark - Mysterious - Suspense,To Be Read,0,,0,0,,,0,,
IT,Stephen King,Horror - Suspence,Finished,0,,0,0,,,0,,
One By One,Ruth Ware,Mysterious - Suspense,To Be Read,0,,0,0,,,0,,
The September House,Carissa Orlando,Dark - Mysterious - Suspense,Finished,0,,0,0,,,0,,
The Whisper Man,Alex North,Dark - Mysterious - Suspense,Finished,0,,0,0,,,0,,
Assistant to the Villain,Hannah Nicole Maehrer,Adventurous - Feel Good - Fantacy,To Be Read,0,,0,0,,,0,,
